30443092 INFO  [2013-11-03 23:03:21]  180-/-1805194-/-16030000
30453460 INFO  [2013-11-03 23:03:31]  180-/-1805259-/-16040000
30466321 INFO  [2013-11-03 23:03:44]  180-/-1805329-/-16050000
30499223 INFO  [2013-11-03 23:04:17]  180-/-1805331-/-16060000
30516930 INFO  [2013-11-03 23:04:35]  180-/-1805351-/-16070000
30526489 INFO  [2013-11-03 23:04:44]  180-/-1805412-/-16080000
30535240 INFO  [2013-11-03 23:04:53]  180-/-1805471-/-16090000
30543745 INFO  [2013-11-03 23:05:01]  180-/-1805543-/-16100000
30554030 INFO  [2013-11-03 23:05:12]  180-/-1805610-/-16110000
30563955 INFO  [2013-11-03 23:05:22]  180-/-1805681-/-16120000
30573583 INFO  [2013-11-03 23:05:31]  180-/-1805750-/-16130000
30583589 INFO  [2013-11-03 23:05:41]  180-/-1805826-/-16140000
30594101 INFO  [2013-11-03 23:05:52]  180-/-1805908-/-16150000
30603273 INFO  [2013-11-03 23:06:01]  180-/-1805990-/-16160000
30612686 INFO  [2013-11-03 23:06:10]  180-/-1806066-/-16170000
30623347 INFO  [2013-11-03 23:06:21]  180-/-1806139-/-16180000
30633046 INFO  [2013-11-03 23:06:31]  180-/-1806219-/-16190000
30642195 INFO  [2013-11-03 23:06:40]  180-/-1806278-/-16200000
30651561 INFO  [2013-11-03 23:06:49]  180-/-1806328-/-16210000
30660516 INFO  [2013-11-03 23:06:58]  180-/-1806397-/-16220000
30685090 INFO  [2013-11-03 23:07:23]  180-/-1806433-/-16230000
30712417 INFO  [2013-11-03 23:07:50]  180-/-1806433-/-16240000
30723525 INFO  [2013-11-03 23:08:01]  180-/-1806485-/-16250000
30732571 INFO  [2013-11-03 23:08:10]  180-/-1806575-/-16260000
30741948 INFO  [2013-11-03 23:08:20]  180-/-1806655-/-16270000
30750840 INFO  [2013-11-03 23:08:29]  180-/-1806712-/-16280000
30760060 INFO  [2013-11-03 23:08:38]  180-/-1806778-/-16290000
30769028 INFO  [2013-11-03 23:08:47]  180-/-1806822-/-16300000
30777972 INFO  [2013-11-03 23:08:56]  180-/-1806874-/-16310000
30787550 INFO  [2013-11-03 23:09:05]  180-/-1806952-/-16320000
30797086 INFO  [2013-11-03 23:09:15]  180-/-1807016-/-16330000
30806218 INFO  [2013-11-03 23:09:24]  180-/-1807072-/-16340000
30815354 INFO  [2013-11-03 23:09:33]  180-/-1807146-/-16350000
30825978 INFO  [2013-11-03 23:09:44]  180-/-1807218-/-16360000
